,Trip,Route/Area,Weather,Battery Drained,Distance [km],Duration [min],Speed [km/h]
0,TripA01,4,5,0.05999999999999994,7.42768972222222,16.82,26.495920531113743
1,TripA02,4,5,0.13,23.5097091666667,23.55,59.897348195329165
2,TripA03,4,5,0.08399999999999996,12.8208461111111,11.18,68.80597197376261
3,TripA04,4,5,0.08399999999999996,10.7274913888889,6.87,93.68988112566726
4,TripA05,4,5,0.06500000000000006,12.3932234722222,22.776666666666664,32.647156812527385
5,TripA06,5,5,0.21699999999999997,45.9934605555555,52.74,52.32475603589931
6,TripA07,5,5,0.292,44.3359158333333,34.88666666666666,76.25133623160707
7,TripA08,4,4,0.10499999999999998,18.2286268055556,46.763333333333335,23.388358578658547
8,TripA09,4,4,0.06099999999999994,11.6612719444444,30.571666666666665,22.886430245870272
9,TripA10,4,4,0.08699999999999997,16.2460069444444,23.625,41.25970017636673
10,TripA11,4,5,0.11399999999999999,17.7317568055556,23.740000000000002,44.814886618927375
11,TripA12,4,5,0.11199999999999999,18.6539030555556,27.305,40.99008179210166
12,TripA13,4,5,0.026000000000000023,4.57298555555556,11.931666666666667,22.99587651906693
13,TripA14,4,5,0.028999999999999915,4.92976305555556,11.575,25.553847372210246
14,TripA15,4,3,0.11399999999999999,26.97350125,37.23,43.470590249798555
15,TripA16,4,3,0.11499999999999999,28.8016013888889,31.775,54.38539994754789
16,TripA17,4,4,0.08899999999999997,12.9708176388889,11.143333333333334,69.83987959916249
17,TripA18,4,4,0.07700000000000007,12.1878966666667,14.678333333333335,49.8199477688204
18,TripA19,4,4,0.08099999999999996,16.7303819444444,26.458333333333332,37.93976377952746
19,TripA20,4,4,0.07900000000000007,11.5179944444444,28.658333333333335,24.114440244256954
20,TripA21,4,5,0.07599999999999996,14.3236054166667,33.04666666666667,26.006142576154993
21,TripA22,4,5,0.10799999999999998,19.3708883988889,30.645,37.92636005656173
22,TripA23,4,5,0.05500000000000005,8.35976032388889,17.375,28.868237089688254
23,TripA24,4,5,0.07499999999999996,11.2745380752778,8.868333333333334,76.27952841759083
24,TripA25,4,5,0.09199999999999997,12.2097497405556,12.71,57.63847241804374
25,TripA26,4,4,0.07399999999999995,18.0322327777778,26.868333333333332,40.26799702251727
26,TripA27,4,4,0.11699999999999999,20.4298453947222,33.34,36.7663684368126
27,TripA28,4,5,0.09899999999999998,19.5153157319444,29.058333333333334,40.29546121881265
28,TripA29,4,5,0.07799999999999996,16.3326094575,22.315,43.91470165583688
29,TripA30,4,5,0.04499999999999993,7.74644444444444,23.288333333333334,19.95791884348385
31,TripA32,4,4,0.27,37.2076897222222,27.868333333333332,80.10745948208834
34,TripB01,1,0,0.28700000000000003,38.7918,54.195,42.94691392194852
35,TripB02,0,2,0.14800000000000002,18.926,26.853333333333335,42.28748758689175
36,TripB03,0,5,0.17000000000000004,19.3977,26.321666666666665,44.21688089659976
38,TripB05,5,0,0.124,14.82,16.99,52.33666862860507
39,TripB06,5,1,0.139,16.58,22.533333333333335,44.14792899408283
40,TripB07,6,4,0.17000000000000004,30.3758,38.163333333333334,47.75652022010656
41,TripB08,6,0,0.23300000000000004,32.2242,48.565000000000005,39.8116338927211
42,TripB09,7,5,0.23999999999999994,54.1825,93.50166666666668,34.76889895010783
43,TripB10,3,4,0.45799999999999996,47.8391,33.72,85.12295373665481
44,TripB11,7,0,0.08100000000000002,10.2134,12.555,48.80955794504182
45,TripB12,3,0,0.22099999999999997,37.0614,53.75833333333333,41.364452022942174
46,TripB13,7,0,0.018999999999999906,2.7823,5.906666666666666,28.262641083521448
47,TripB14,3,0,0.509,60.9747,63.69833333333334,57.434501164342336
48,TripB15,0,4,0.17599999999999993,19.2393,30.37,38.00981231478433
49,TripB16,0,4,0.14700000000000002,19.2339,25.475,45.30064769381746
50,TripB17,0,4,0.15600000000000003,19.2478,26.015,44.3923890063425
51,TripB18,5,0,0.1469999999999999,15.8136,18.490000000000002,51.315089237425624
52,TripB19,5,6,0.14200000000000002,16.4252,19.85,49.64795969773299
53,TripB20,5,1,0.10699999999999998,12.3436,23.38,31.67733105218135
54,TripB21,5,6,0.14600000000000007,15.8372,17.326666666666664,54.84217006540978
55,TripB22,5,7,0.139,16.8623,19.986666666666668,50.620647098065376
56,TripB23,5,4,0.18599999999999994,18.7051,18.553333333333335,60.49080129356809
57,TripB24,5,4,0.07900000000000001,9.3347,16.298333333333332,34.36437263523878
58,TripB25,5,4,0.118,13.5033,17.029999999999998,47.5747504403993
59,TripB26,5,4,0.12200000000000003,14.6981,13.415,65.73879985091315
60,TripB27,0,5,0.18400000000000005,19.2343,24.48166666666667,47.139682755803655
61,TripB28,0,5,0.14399999999999996,17.527,22.773333333333333,46.17769320843092
62,TripB29,5,0,0.161,15.8334,16.141666666666666,58.85414558595767
63,TripB30,5,6,0.138,14.8606,15.346666666666666,58.099652476107735
64,TripB31,5,1,0.14300000000000002,15.2414,18.279999999999998,50.02647702407003
65,TripB32,5,0,0.14500000000000002,14.2409,13.261666666666667,64.43036320221188
66,TripB33,5,0,0.05800000000000005,7.0335,9.131666666666666,46.213907647380914
67,TripB34,5,0,0.026000000000000023,9.1432,12.228333333333333,44.862368815592205
68,TripB35,5,1,0.139,15.4193,22.708333333333332,40.74090275229358
69,TripB36,5,5,0.27599999999999997,38.7188,47.53666666666666,48.87023350396186
70,TripB37,4,4,0.15799999999999992,17.4626,23.62,44.358848433530895
71,TripB38,2,5,0.16200000000000003,18.9022,27.38,41.42191380569759
